Sample Number;X;Y;NI
151;795977.00;1232008.00;7.00
152;797155.00;1233326.00;15.00
153;805476.00;1211580.00;7.00
154;804483.00;1212796.00;7.00
155;804030.00;1212218.00;7.00
156;804035.00;1213069.00;7.00
157;802986.00;1211585.00;15.00
158;802676.00;1211686.00;5.00
159;802648.00;1211987.00;5.00
160;803558.00;1208530.00;15.00
161;803487.00;1208301.00;20.00
162;803247.00;1206682.00;20.00
163;805047.00;1206571.00;15.00
164;803990.00;1205527.00;7.00
165;803787.00;1204928.00;70.00
166;806365.00;1204493.00;10.00
167;805415.00;1203628.00;7.00
168;805779.00;1203486.00;7.00
169;805169.00;1201929.00;10.00
170;811482.00;1220636.00;15.00
171;811633.00;1220785.00;70.00
172;811539.00;1221786.00;7.00
173;811209.00;1221838.00;15.00
174;811340.00;1221937.00;30.00
175;809423.00;1219223.00;100.00
176;809290.00;1218649.00;50.00
177;793684.00;1230136.00;20.00
178;793732.00;1229726.00;20.00
179;793712.00;1228125.00;50.00
180;791357.00;1230611.00;70.00
181;791338.00;1230936.00;70.00
182;791557.00;1230599.00;10.00
183;810060.00;1221145.00;15.00
184;808459.00;1223535.00;20.00
185;807104.00;1227764.00;10.00
186;808054.00;1230259.00;50.00
187;807588.00;1233377.00;30.00
188;808149.00;1233389.00;70.00
189;807692.00;1235542.00;10.00
190;807234.00;1237596.00;150.00
191;807285.00;1237665.00;200.00
192;807497.00;1239694.00;200.00
193;812684.00;1214177.00;30.00
194;814244.00;1214218.00;10.00
195;814304.00;1214198.00;20.00
196;815449.00;1214971.00;30.00
197;790752.00;1216579.00;70.00
198;790727.00;1216634.00;30.00
199;791134.00;1216927.00;50.00
200;791154.00;1216937.00;100.00
201;792056.00;1217171.00;70.00
202;792718.00;1217568.00;50.00
203;792958.00;1217576.00;50.00
204;793460.00;1217843.00;150.00
205;793539.00;1217573.00;100.00
206;797040.00;1217622.00;70.00
207;797960.00;1217566.00;50.00
208;800165.00;1218243.00;100.00
209;800212.00;1217803.00;30.00
210;801048.00;1217828.00;70.00
211;808945.00;1231129.00;50.00
212;809119.00;1231052.00;70.00
213;810194.00;1230946.00;30.00
214;810052.00;1232197.00;70.00
215;810554.00;1232624.00;50.00
216;810395.00;1232715.00;30.00
217;811136.00;1233701.00;50.00
218;811121.00;1233726.00;30.00
219;790068.00;1225967.00;30.00
220;791309.00;1226129.00;30.00
221;791209.00;1226160.00;30.00
222;791656.00;1225557.00;20.00
223;792006.00;1225605.00;30.00
224;812843.00;1235611.00;30.00
225;812828.00;1235531.00;30.00
226;814501.00;1235220.00;70.00
227;814572.00;1235350.00;100.00
228;815721.00;1235153.00;70.00
229;815972.00;1235261.00;70.00
230;815997.00;1234461.00;70.00
231;815387.00;1234545.00;70.00
232;815945.00;1234241.00;70.00
233;795784.00;1236496.00;20.00
234;796278.00;1237113.00;30.00
235;796408.00;1237122.00;70.00
236;796679.00;1237330.00;30.00
237;796460.00;1237362.00;50.00
238;796780.00;1237485.00;50.00
239;797783.00;1237824.00;70.00
240;796822.00;1237795.00;70.00
241;796905.00;1238229.00;70.00
242;796852.00;1238505.00;100.00
243;796567.00;1238511.00;50.00
244;796702.00;1238531.00;100.00
245;808139.00;1233459.00;30.00
246;808139.00;1233409.00;200.00
247;808176.00;1233834.00;150.00
248;808293.00;1234038.00;100.00
249;808337.00;1234018.00;20.00
250;790863.00;1221810.00;30.00
251;790838.00;1221840.00;30.00
252;791787.00;1222455.00;70.00
253;791667.00;1222471.00;50.00
254;791989.00;1222754.00;50.00
255;792014.00;1222654.00;50.00
256;791292.00;1223318.00;200.00
257;793694.00;1223494.00;100.00
258;793544.00;1223395.00;30.00
259;812127.00;1232249.00;70.00
260;813309.00;1231577.00;30.00
261;813263.00;1231502.00;70.00
262;813396.00;1231106.00;30.00
263;813745.00;1230904.00;50.00
264;814495.00;1231000.00;70.00
265;814510.00;1231005.00;30.00
266;815127.00;1231216.00;20.00
267;815127.00;1231251.00;50.00
268;816560.00;1231682.00;30.00
269;816550.00;1231707.00;30.00
270;791953.00;1233278.00;70.00
271;793108.00;1232371.00;100.00
272;793284.00;1232549.00;50.00
273;794292.00;1231368.00;70.00
274;795936.00;1230313.00;10.00
275;796263.00;1229730.00;30.00
276;796684.00;1228227.00;15.00
277;796590.00;1227578.00;200.00
278;797673.00;1227951.00;15.00
279;797830.00;1227600.00;70.00
280;797700.00;1227521.00;50.00
281;798689.00;1226565.00;50.00
282;799109.00;1225712.00;200.00
283;799352.00;1224470.00;30.00
284;798472.00;1224575.00;70.00
285;799312.00;1222820.00;50.00
286;798842.00;1222853.00;70.00
287;800352.00;1219432.00;10.00
288;802797.00;1216837.00;70.00
289;807658.00;1225035.00;30.00
290;807688.00;1225020.00;20.00
291;806535.00;1224587.00;100.00
292;806564.00;1224481.00;20.00
293;805503.00;1224323.00;20.00
294;804229.00;1224556.00;20.00
295;804587.00;1228399.00;20.00
296;806384.00;1237646.00;30.00
297;806564.00;1239150.00;100.00
298;807397.00;1239665.00;10.00
299;805860.00;1236964.00;150.00
300;806558.00;1237470.00;200.00
301;807285.00;1237665.00;300.00
302;807235.00;1237686.00;500.00
303;806973.00;1237397.00;300.00
304;803464.00;1234518.00;70.00
305;805024.00;1236079.00;300.00
306;805866.00;1234773.00;200.00
307;806467.00;1234855.00;15.00
308;806368.00;1235070.00;150.00
309;807172.00;1235565.00;150.00
310;809604.00;1207679.00;50.00
311;808333.00;1207502.00;70.00
312;808435.00;1207851.00;50.00
313;807159.00;1208559.00;70.00
314;814001.00;1207018.00;50.00
315;813969.00;1206618.00;50.00
316;815550.00;1205009.00;30.00
317;815982.00;1205391.00;50.00
318;816390.00;1205054.00;50.00
319;816439.00;1204904.00;70.00
320;816590.00;1204963.00;30.00
321;802591.00;1205785.00;100.00
322;802463.00;1205986.00;20.00
323;802535.00;1204635.00;10.00
324;801480.00;1203841.00;70.00
325;801501.00;1204091.00;70.00
326;801591.00;1205791.00;70.00
327;800743.00;1206196.00;70.00
328;800432.00;1204198.00;70.00
329;800432.00;1204238.00;200.00
330;807828.00;1239762.00;30.00
331;808177.00;1239710.00;30.00
332;808197.00;1239630.00;15.00
333;808346.00;1239559.00;10.00
334;808416.00;1239524.00;10.00
335;809192.00;1238734.00;20.00
336;814106.00;1224471.00;100.00
337;814312.00;1222219.00;70.00
338;814393.00;1222399.00;50.00
339;814412.00;1222219.00;100.00
340;813380.00;1220224.00;30.00
341;813450.00;1220224.00;70.00
342;813833.00;1219021.00;100.00
343;814311.00;1217018.00;50.00
